2019-04-12 17:07:02.855917,10,6,-3176,-1796,-1295,-693
2019-04-12 17:07:02.856078,15,6,-2421,-1572,-1277,-719
2019-04-12 17:08:02.871085,10,6,-2708,-1653,-1518,-946
2019-04-12 17:08:02.871391,15,6,-2803,-2376,-2537,-1632
2019-04-12 17:09:02.892489,10,6,-3123,-2232,-2435,-1232
2019-04-12 17:09:02.892631,15,6,-3361,-2073,-1849,-1333
2019-04-12 17:10:02.903093,10,6,-2977,-2016,-1778,-1047
2019-04-12 17:10:02.904039,15,6,-3470,-1784,-1309,-1019
2019-04-12 17:11:02.915840,10,6,-2878,-2275,-1748,-1735
2019-04-12 17:11:02.916255,15,6,-4054,-2070,-1644,-1063
2019-04-12 18:07:06.269739,10,29,-2976,-1710,-1689,-364
2019-04-12 18:07:06.271117,15,29,-3161,-1653,-1383,74
2019-04-12 18:08:06.305855,10,29,-2844,-1657,-1561,-641
2019-04-12 18:08:06.306047,15,29,-3152,-1951,-1593,-536
2019-04-12 18:09:06.318484,10,29,-19524,-552,-738,24583
2019-04-12 18:09:06.318659,15,29,-19707,-1483,-575,2
2019-04-12 18:10:06.340435,10,29,-2106,-754,-651,-137
2019-04-12 18:10:06.340904,15,29,-2265,-815,-429,4
2019-04-12 18:11:06.374929,10,29,-2195,-615,-569,743
2019-04-12 18:11:06.375176,15,29,-2818,-968,-836,-261
2019-04-12 18:12:06.391117,10,29,-3794,-701,-689,1975
2019-04-12 18:12:06.391191,15,29,-3472,-791,-550,349
2019-04-12 18:13:06.401140,10,30,-2873,-705,-630,1152
2019-04-12 18:13:06.401344,15,30,-3116,-401,-369,3334
2019-04-12 18:14:06.428525,10,29,-3481,-550,-514,2214
2019-04-12 18:14:06.428621,15,29,-4263,-678,-400,770
2019-04-12 18:15:06.436629,10,29,-3805,-653,-574,64
2019-04-12 18:15:06.436768,15,29,-3331,-447,-386,578
2019-04-12 18:16:06.449862,10,29,-1045,-421,-438,350
2019-04-12 18:16:06.449954,15,29,-1493,-549,-549,651
2019-04-12 18:17:06.460015,10,29,-1284,-542,-573,391
2019-04-12 18:17:06.460096,15,29,-2176,-541,-446,222
2019-04-12 18:18:06.471599,10,30,-2728,-474,-469,1732
2019-04-12 18:18:06.472603,15,30,-2907,-558,-419,-5
2019-04-12 18:19:06.488498,10,29,-2062,-568,-641,1208
2019-04-12 18:19:06.489428,15,29,-1728,-626,-527,-167
2019-04-12 18:20:06.504755,10,29,-3758,-465,-400,915
2019-04-12 18:20:06.504841,15,29,-3437,-531,-407,1177
2019-04-12 18:21:06.509887,10,29,-2061,-585,-526,-34
2019-04-12 18:21:06.509979,15,29,-2449,-418,-414,814
2019-04-12 18:22:06.516379,10,29,-2478,-574,-523,1842
2019-04-12 18:22:06.516573,15,29,-1886,-463,-399,1096
2019-04-12 18:23:06.530808,10,30,-1961,-565,-635,642
2019-04-12 18:23:06.530916,15,30,-1579,-454,-412,538
2019-04-12 18:24:06.539440,10,29,-2660,-732,-680,1283
2019-04-12 18:24:06.539800,15,29,-2034,-533,-443,2860
2019-04-12 18:25:06.548884,10,29,-1931,-701,-667,-92
2019-04-12 18:25:06.549560,15,29,-1986,-693,-596,529
2019-04-12 18:26:06.567933,10,29,-1646,-577,-583,94
2019-04-12 18:26:06.568236,15,29,-1518,-395,-468,2389
2019-04-12 18:27:06.604069,10,30,-1453,-539,-560,1579
2019-04-12 18:27:06.604349,15,30,-1893,-604,-493,170
2019-04-12 18:28:06.615014,10,29,-4236,-579,-586,1819
2019-04-12 18:28:06.615181,15,29,-3347,-697,-458,237
2019-04-12 18:29:06.688495,10,29,-1761,-512,-584,1152
2019-04-12 18:29:06.688795,15,29,-1923,-495,-455,1519
2019-04-12 18:30:06.698958,10,29,-1984,-769,-699,184
2019-04-12 18:30:06.699030,15,29,-2371,-553,-442,584
2019-04-12 18:31:06.705699,10,29,-2492,-561,-660,902
2019-04-12 18:31:06.705803,15,29,-2151,-568,-418,-56
2019-04-12 18:32:06.716543,10,30,-2882,-699,-711,153
2019-04-12 18:32:06.716649,15,30,-2036,-597,-506,590
2019-04-12 18:33:06.726681,10,29,-1854,-634,-700,871
2019-04-12 18:33:06.726818,15,29,-1255,-366,-420,2537
2019-04-12 18:34:06.741259,10,29,-25646,-1481,-706,1811
2019-04-12 18:34:06.741352,15,29,-25927,-1436,-496,412
2019-04-12 18:35:06.747545,10,29,-2023,-624,-652,373
2019-04-12 18:35:06.747685,15,29,-2519,-606,-477,-30
2019-04-12 18:36:06.763586,10,29,-2541,-747,-652,109
2019-04-12 18:36:06.764062,15,29,-2213,-668,-574,1322
2019-04-12 18:37:06.770863,10,30,-1961,-652,-625,53
2019-04-12 18:37:06.770948,15,30,-2037,-599,-508,-23
2019-04-12 18:38:06.779673,10,29,-1419,-648,-693,73
2019-04-12 18:38:06.779829,15,29,-1671,-616,-567,-226
2019-04-12 18:39:06.789751,10,29,-2559,-665,-641,806
2019-04-12 18:39:06.789911,15,29,-2105,-667,-514,-50
2019-04-12 18:40:06.807798,10,29,-3463,-854,-722,135
2019-04-12 18:40:06.807963,15,29,-2889,-663,-507,428
2019-04-12 18:53:04.290936,10,56,-10371,-1539,-1078,1540
2019-04-12 18:53:04.292965,15,56,-11146,-1536,-1258,921
2019-04-12 18:54:04.317306,10,57,-4635,-1573,-1567,2855
2019-04-12 18:54:04.317485,15,57,-4078,-1447,-1209,704
2019-04-12 18:55:04.340034,10,56,-3980,-1488,-1374,2077
2019-04-12 18:55:04.340368,15,56,-4654,-1663,-1564,-298
2019-04-12 18:56:04.358997,10,57,-4842,-1414,-1178,4677
